prenom;nom;jour_naissance;mois_naissance;annee_naissance;famille;ad1_numero;ad1_post_code;ad1_ville;ad1_street;ad1_type;ad1_Pays;ad2_numero;ad2_post_code;ad2_ville;ad2_street;ad2_type;ad2_Pays
Adeltrude;Coisne;10;12;1976;Henry;56;71972;Madrid;Gaité;Road;Maroc;78;32893;New York;Zinedine Zidane;Avenue;Grande-Bretagne
Adémar;Petit;9;6;1972;Henry;50;68552;Madrid;de Ségur;DeadEnd;USA;6;29281;Los Angeles;du Fion;DeadEnd;Grande-Bretagne
Adénora;CoolName;15;12;1984;Charles;29;69717;Marseilles;Voltaire;Boulevard;Maroc;86;30491;Marseilles;Zinedine Zidane;Road;USA
Adílio;Martin;1;1;1939;Henry;38;25710;Miami;Tahère;Avenue;USA;73;14402;New York;Gaité;Street;USA
Adílson;Coisne;24;8;1952;Charles;33;28793;Bordeaux;du Fion;Avenue;France;74;40098;Paris;D'Aguesseau;DeadEnd;France
Adine;CoolName;8;11;1988;Henry;79;43615;Paris;Caillard;DeadEnd;France;48;42426;Los Angeles;De Gaulle;Boulevard;USA
Adolphe;CoolName;19;7;1985;Henry;79;44069;Bath;Paul Lelent;Street;France;7;43995;Los Angeles;Caillard;DeadEnd;USA
Adon;Petit;6;4;1979;Charles;44;12920;Cardiff;des Princes;Boulevard;Grande-Bretagne;72;35395;Madrid;Jean Valjean;Road;Grande-Bretagne
Adonis;Martin;29;6;1993;Henry;17;78100;Madrid;Royale;Avenue;Maroc;56;38855;Nantes;Paul Lelent;DeadEnd;Grande-Bretagne
Adria;Martin;8;12;2003;Henry;57;92619;Madrid;De Gaulle;Avenue;France;50;51365;Marseilles;Gaité;Avenue;France
Adrian;Petit;19;10;1992;Charles;50;78664;New York;Picasso;Boulevard;Grande-Bretagne;40;28677;Lille;Charonne;DeadEnd;France
Adriana;Martin;7;11;2007;Charles;92;73202;Paris;de Ségur;Road;Maroc;84;93812;Paris;Charonne;Boulevard;USA
Adriano;Bernard;4;8;1994;Charles;51;75260;Cardiff;De Gaulle;Avenue;USA;56;28268;Londres;Obama;Boulevard;USA
Adriel;Bernard;29;12;1982;Henry;30;26997;Cardiff;de la pompe;Avenue;France;13;18810;Bath;De Gaulle;DeadEnd;Maroc
Adrien;Coisne;10;10;1926;Charles;38;36009;Cardiff;du Rock;DeadEnd;Grande-Bretagne;64;11561;Los Angeles;Caillard;Road;USA
Adrienne;Martin;17;10;1968;Charles;26;35989;New York;Denfert;Boulevard;USA;45;82719;New York;Obama;Road;France
Adriette;CoolName;8;12;1921;Paul;40;92143;Casablanca;De Gaulle;Road;USA;1;65757;Miami;D'Aguesseau;DeadEnd;Maroc
Babet;Martin;18;4;1934;Charles;58;89174;Bath;Paul Lelent;DeadEnd;France;93;75791;Casablanca;Jean Valjean;Street;France
Babeth;CoolName;26;5;1984;Charles;10;69326;Madrid;Charonne;Street;Maroc;57;11103;Los Angeles;du Fion;Boulevard;Maroc
Babette;CoolName;22;6;1992;Paul;34;35569;Los Angeles;Zinedine Zidane;Road;USA;51;68914;Bordeaux;Paul Lelent;Road;Maroc
Babylas;Petit;22;9;1957;Charles;98;13871;Nantes;de la pompe;Road;USA;11;73422;Casablanca;D'Aguesseau;Road;Maroc
Bacchus;Petit;4;3;2005;Charles;51;34176;Marseilles;Royale;Street;Maroc;99;56049;Paris;Jean Jaurès;Avenue;Grande-Bretagne
Bakhita;Petit;5;2;2011;Paul;70;71970;Londres;Gaité;Avenue;Maroc;21;44575;Madrid;de Ségur;Street;Maroc
Balbine;Coisne;5;10;1989;Charles;34;25462;Miami;Jean Jaurès;Road;USA;63;89372;Casablanca;du Fion;Street;USA
Baldassare;Coisne;25;8;1942;Henry;30;89185;Nantes;Gaité;Street;Maroc;49;21672;Cardiff;des Princes;Street;France
Baldwin;Coisne;11;3;1951;Charles;44;26531;Casablanca;Paul Lelent;Road;Maroc;35;10717;Los Angeles;Pétain;DeadEnd;Maroc
Balian;CoolName;29;4;1959;Charles;23;93397;Madrid;Jean Valjean;Street;France;32;71778;Nantes;Gaité;Avenue;France
Balthazar;Martin;23;10;1984;Henry;54;66879;Nantes;Jean Valjean;Boulevard;Grande-Bretagne;48;12996;Miami;du Fion;Avenue;USA
Baptiste;Martin;15;2;2008;Henry;60;33867;Marseilles;de la pompe;Avenue;Maroc;32;68846;Lille;Caillard;Road;Grande-Bretagne
Baptistin;Coisne;26;12;1975;Henry;80;10823;Madrid;Jean Valjean;Road;France;12;43898;Cardiff;du Fion;Boulevard;Maroc
Baptistine;Coisne;22;7;2017;Paul;80;84509;Miami;D'Aguesseau;Avenue;Maroc;95;28526;Lille;Royale;Road;USA
Barban;Bernard;23;1;1944;Henry;17;42340;Nantes;du Rock;Road;France;22;94750;Londres;Pernetti;Street;Grande-Bretagne
Barbara;Petit;22;6;1967;Henry;52;40909;Los Angeles;Obama;Avenue;Grande-Bretagne;72;25457;Nantes;Zinedine Zidane;DeadEnd;France
Barbe;Petit;17;1;2002;Henry;12;26128;Casablanca;Caillard;Avenue;Grande-Bretagne;38;68911;Marseilles;Jean Valjean;DeadEnd;France
Barberine;Bernard;27;8;1920;Paul;84;17789;New York;Picasso;Boulevard;USA;15;69696;Marseilles;des Princes;Boulevard;USA
Barnabé;Petit;20;8;1915;Henry;67;36076;Londres;Picasso;DeadEnd;Grande-Bretagne;61;28637;Lille;Paul Lelent;Street;Maroc
Barnard;Coisne;20;2;1967;Henry;74;53654;Londres;Charonne;Boulevard;USA;75;41494;Paris;Voltaire;Boulevard;France
Barry;Petit;8;12;1968;Paul;99;59420;Londres;Jean Jaurès;Avenue;USA;1;42757;Bath;de Paris;Road;Grande-Bretagne
Barthélemy;Petit;23;10;2006;Paul;30;41015;Lille;des Princes;Boulevard;France;30;62155;Cardiff;Gaité;Boulevard;USA
Bartholomé;Coisne;12;3;1973;Henry;90;67361;Los Angeles;Pétain;Avenue;Maroc;72;99592;Casablanca;Charonne;Street;Grande-Bretagne
Bartholomée;Coisne;28;11;1959;Paul;90;21708;New York;des Princes;DeadEnd;USA;97;72584;Lille;des Princes;Boulevard;Grande-Bretagne
Barthy;CoolName;26;11;2017;Henry;71;62935;Casablanca;Obama;DeadEnd;USA;77;74768;Lille;des Princes;Road;USA
Bartimée;Bernard;26;4;1962;Paul;52;17395;Cardiff;D'Aguesseau;Road;USA;3;53217;Paris;Charonne;Avenue;USA
Bartolo;Bernard;8;1;1946;Henry;9;11936;Casablanca;du Rock;DeadEnd;USA;1;44679;Paris;Picasso;Avenue;USA
Bartoumiéu;Coisne;25;1;1992;Charles;55;67791;Lille;Tahère;Street;Grande-Bretagne;68;89792;Miami;Caillard;Avenue;Grande-Bretagne
Basile;Petit;27;11;1968;Paul;49;84496;Madrid;Charonne;Avenue;Maroc;3;55725;Bordeaux;du Fion;Avenue;Maroc
Basilissa;Bernard;10;12;1973;Henry;77;48597;New York;Semard;Street;USA;40;87405;Nantes;Obama;Boulevard;Maroc
Basilisse;Petit;26;11;1937;Henry;14;66177;Paris;Voltaire;Avenue;Grande-Bretagne;26;43070;Marseilles;D'Aguesseau;Avenue;Maroc
Basso;Coisne;21;7;2016;Henry;87;36393;Bordeaux;Denfert;DeadEnd;Maroc;41;36294;Miami;Pétain;Boulevard;Grande-Bretagne
Bassus;Petit;6;5;2012;Charles;42;91503;Madrid;Caillard;DeadEnd;Grande-Bretagne;16;47351;Cardiff;D'Aguesseau;Boulevard;USA
Bastian;Bernard;3;10;1975;Paul;23;54358;Marseilles;Pernetti;Boulevard;Maroc;62;56125;New York;Caillard;Avenue;Maroc
Bastiane;Coisne;14;7;1952;Paul;33;65459;Nantes;Paul Lelent;Boulevard;Grande-Bretagne;18;20084;Casablanca;Picasso;Boulevard;Grande-Bretagne
Bastien;Coisne;3;3;2000;Charles;38;45606;Marseilles;Semard;Street;Maroc;84;34588;Los Angeles;Obama;Boulevard;France
Bastienne;Bernard;14;10;1997;Charles;1;83265;Cardiff;Tahère;DeadEnd;USA;1;51331;Paris;de la pompe;Road;Maroc
Bathilde;Bernard;30;7;2017;Henry;96;80045;Londres;Jean Valjean;Boulevard;Maroc;14;29855;Nantes;de Paris;Road;Maroc
Battista;Martin;3;4;1979;Paul;59;15545;Bordeaux;Obama;Boulevard;France;18;28406;Bath;du Fion;Boulevard;France
Baudille;Coisne;10;12;1940;Henry;85;45498;Casablanca;De Gaulle;DeadEnd;France;2;65168;Bath;de la pompe;Street;USA
Baudouin;Petit;13;12;2006;Henry;57;78887;Lille;Picasso;Boulevard;Grande-Bretagne;20;21993;Bordeaux;Semard;Avenue;Maroc
Bavon;Bernard;2;4;1936;Charles;43;41980;Los Angeles;Charonne;Street;USA;17;59413;Bordeaux;Semard;Boulevard;USA
Béatine;Coisne;30;1;1970;Henry;60;91215;Londres;de Paris;Road;France;81;43252;Londres;D'Aguesseau;Road;France
Béatrice;Bernard;25;1;1951;Paul;52;71148;Nantes;Paul Lelent;Street;Maroc;88;17731;Paris;Pernetti;Road;France
Béatrix;Bernard;19;4;1952;Henry;19;45511;Marseilles;Denfert;Road;France;43;42531;Bordeaux;Paul Lelent;DeadEnd;Grande-Bretagne
Beddy;Coisne;6;3;1941;Charles;83;86502;Nantes;De Gaulle;Avenue;USA;17;67466;Cardiff;Semard;DeadEnd;Grande-Bretagne
Bède;Petit;24;11;2001;Henry;4;51086;Lille;du Fion;Avenue;France;5;92311;Marseilles;Caillard;Boulevard;USA
Bee;Coisne;3;1;1976;Paul;42;38321;Miami;Picasso;Road;Grande-Bretagne;39;40002;Paris;Gaité;DeadEnd;Maroc
Begge;Bernard;29;9;2010;Charles;4;68203;Miami;Picasso;DeadEnd;USA;15;19845;Londres;du Fion;Boulevard;Grande-Bretagne
Behnam;CoolName;9;2;1921;Charles;76;39483;Bordeaux;Denfert;DeadEnd;Maroc;37;71344;Casablanca;de Paris;Road;Maroc
Belén;Coisne;8;3;2001;Paul;42;32955;Madrid;Gaité;Avenue;France;91;92148;Nantes;de Ségur;Avenue;Maroc
Belinda;CoolName;30;3;1957;Charles;49;75372;Marseilles;Jean Jaurès;Street;Maroc;33;89034;New York;Royale;Street;USA
Beline;Bernard;26;11;1990;Henry;8;44464;Bath;de Paris;Boulevard;Maroc;81;14271;Marseilles;Semard;Avenue;Maroc
Cadroe;Bernard;13;11;1985;Paul;52;58281;Bath;D'Aguesseau;Road;Maroc;45;48049;Paris;des Princes;Avenue;Grande-Bretagne
Cainnech;Petit;5;10;1926;Henry;19;97052;Casablanca;Gaité;Boulevard;USA;26;47951;Miami;D'Aguesseau;Street;Maroc
Caïssa;CoolName;30;10;1933;Paul;57;81696;Nantes;Paul Lelent;Avenue;USA;98;73802;Paris;Pernetti;Road;France
Caïus;CoolName;24;5;1956;Paul;47;61334;Paris;Pernetti;Road;Maroc;96;54859;Miami;Picasso;Boulevard;Maroc
Cajetan;Bernard;1;8;2018;Paul;10;30150;Madrid;Royale;Avenue;Maroc;38;42120;Marseilles;Voltaire;Road;France
Caleb;Martin;15;1;1979;Paul;41;56331;Bath;Pétain;Avenue;Maroc;92;33190;Miami;Jean Jaurès;Street;USA
Calimero;CoolName;19;5;1918;Henry;97;52788;Londres;Pernetti;DeadEnd;France;77;65245;New York;Jean Jaurès;Avenue;Maroc
Caline;Martin;11;11;1999;Henry;89;48705;Miami;de la pompe;Road;Maroc;3;71925;Miami;Charonne;Road;USA
Calixta;Petit;12;3;1976;Charles;48;97619;Nantes;Semard;Road;Maroc;11;22097;Paris;de Paris;DeadEnd;France
Calixte;CoolName;21;12;1936;Henry;41;42118;Cardiff;du Fion;Avenue;USA;73;50404;Nantes;Pétain;Road;USA
Calixtine;CoolName;1;8;1967;Paul;45;14873;New York;Tahère;DeadEnd;Grande-Bretagne;67;39043;Lille;Paul Lelent;Boulevard;Maroc
Callie;Petit;9;10;1930;Paul;26;31180;New York;Jean Valjean;Boulevard;Grande-Bretagne;88;19440;Nantes;de Ségur;DeadEnd;France
Calliope;Coisne;29;10;1955;Paul;26;16881;Miami;Obama;Boulevard;Grande-Bretagne;36;79295;Marseilles;Jean Valjean;Street;Grande-Bretagne
Callista;CoolName;2;5;1974;Henry;2;81716;Nantes;Jean Jaurès;Avenue;France;9;68215;Marseilles;Jean Valjean;Road;France
Calliste;Bernard;29;10;1989;Charles;62;26785;Marseilles;de Ségur;Street;Grande-Bretagne;38;42272;Paris;Charonne;Street;Grande-Bretagne
Callistine;Bernard;14;11;2006;Paul;32;46764;Bath;Pétain;Boulevard;Grande-Bretagne;47;39848;Bordeaux;Denfert;Avenue;France
Calogero;Bernard;7;6;1940;Paul;28;22216;Paris;Picasso;Street;Grande-Bretagne;32;87907;Londres;Jean Valjean;Road;Maroc
Calvin;CoolName;14;1;1919;Paul;56;50218;Paris;du Fion;Street;Maroc;98;47266;Londres;Jean Valjean;Boulevard;France
Calypso;Coisne;28;4;2017;Henry;69;32239;Miami;de la pompe;Street;USA;40;80489;Paris;Picasso;Boulevard;Maroc
Camélia;CoolName;25;12;1922;Henry;41;36697;Londres;de Ségur;Boulevard;France;66;28297;Miami;D'Aguesseau;Road;France
Cameron;Coisne;30;6;1978;Henry;85;45911;Madrid;D'Aguesseau;Road;France;20;42430;Cardiff;De Gaulle;DeadEnd;USA
Camiho;CoolName;12;4;1992;Henry;98;15159;Lille;Semard;Street;Grande-Bretagne;73;55783;Cardiff;Paul Lelent;DeadEnd;USA
Camilla;Martin;14;7;1947;Paul;34;76944;Cardiff;Denfert;Avenue;Grande-Bretagne;82;89023;Nantes;Zinedine Zidane;Avenue;Maroc
Camille;Bernard;26;9;1937;Paul;76;96669;Nantes;De Gaulle;Boulevard;Grande-Bretagne;52;29678;Bath;du Fion;Street;Maroc
Camilo;Coisne;30;3;1971;Charles;58;58525;Londres;De Gaulle;Street;Maroc;87;88912;Bordeaux;Picasso;Street;France
Candice;Petit;30;3;1954;Henry;26;12652;Paris;Picasso;Boulevard;Grande-Bretagne;11;72773;Madrid;Pétain;DeadEnd;USA
Candide;Martin;8;7;1946;Charles;78;43033;Los Angeles;Pétain;Street;Maroc;41;41256;Casablanca;Denfert;Street;Grande-Bretagne
Candy;Martin;3;11;1982;Paul;54;38937;Bordeaux;des Princes;Street;Grande-Bretagne;27;92544;New York;De Gaulle;DeadEnd;Grande-Bretagne
Canice;Coisne;15;3;1976;Paul;93;28204;Lille;de Ségur;DeadEnd;Grande-Bretagne;11;96164;Casablanca;Gaité;Street;France
Cannelle;Bernard;2;4;1980;Henry;30;95693;Cardiff;De Gaulle;Street;USA;67;30530;New York;Voltaire;Road;France
Cantien;CoolName;17;10;1954;Paul;72;74203;Los Angeles;Royale;DeadEnd;Maroc;11;56901;Madrid;Charonne;Road;Grande-Bretagne
Cantienne;CoolName;13;1;2000;Paul;16;87829;Nantes;Semard;DeadEnd;Grande-Bretagne;39;76111;Madrid;Jean Valjean;DeadEnd;Grande-Bretagne
Canut;Bernard;24;11;1972;Paul;55;36340;New York;Picasso;Boulevard;Maroc;24;68584;Bordeaux;du Fion;DeadEnd;USA
Caprais;Petit;16;5;1959;Charles;36;96654;Miami;de Paris;Avenue;Maroc;59;72241;Madrid;Jean Valjean;Street;Maroc
Capucin;Petit;25;6;2018;Paul;30;99273;Cardiff;Jean Valjean;DeadEnd;USA;88;16926;Los Angeles;Charonne;Avenue;Grande-Bretagne
Capucine;Bernard;30;1;1937;Paul;27;83801;Madrid;Jean Jaurès;Street;Maroc;25;55019;New York;Obama;Road;Grande-Bretagne
Cara;Petit;20;3;2004;Charles;59;13637;New York;du Fion;Road;USA;9;12365;Lille;Pernetti;DeadEnd;Maroc
Carelle;Coisne;8;10;1952;Paul;15;23381;Los Angeles;Jean Valjean;Street;Maroc;57;93433;Bordeaux;Zinedine Zidane;Avenue;USA
Caren;Bernard;8;8;2004;Paul;9;43269;Marseilles;de la pompe;Avenue;Maroc;90;59176;Casablanca;D'Aguesseau;Road;Maroc
Carine;Petit;28;5;1918;Paul;76;57806;Paris;Denfert;Road;France;84;83634;Paris;Tahère;DeadEnd;USA
Carl;Coisne;8;2;1955;Charles;3;31823;Miami;Tahère;Avenue;USA;39;51231;Londres;Paul Lelent;DeadEnd;Grande-Bretagne
Carla;Coisne;5;10;1947;Paul;54;71560;Bath;De Gaulle;Road;Grande-Bretagne;25;94548;Miami;Gaité;DeadEnd;Maroc
Carle;Coisne;3;10;1916;Paul;65;61971;Casablanca;des Princes;Avenue;Maroc;70;80981;Casablanca;de Ségur;Avenue;Grande-Bretagne
Carline;Martin;24;8;2008;Charles;69;11135;Paris;Jean Valjean;Street;USA;59;70339;Bath;de Paris;Street;USA
Carlo;Petit;25;4;1929;Henry;13;33055;Los Angeles;Denfert;Road;France;57;60641;Madrid;Charonne;Boulevard;Maroc
Carlos;Bernard;30;9;1950;Charles;50;63823;Bath;des Princes;DeadEnd;Grande-Bretagne;88;90303;Madrid;de Ségur;Street;Grande-Bretagne
Carlotta;Martin;8;1;1999;Charles;81;66849;Lille;Paul Lelent;Road;Maroc;91;45171;Bath;Gaité;DeadEnd;France
Donnie;CoolName;18;7;1939;Henry;31;95717;Miami;du Rock;Street;Grande-Bretagne;88;23443;Madrid;Picasso;Avenue;Maroc
Donovan;Coisne;3;12;2014;Charles;91;20159;Nantes;Jean Jaurès;DeadEnd;France;87;76572;Casablanca;Royale;Street;Grande-Bretagne
Dora;Martin;8;9;1956;Charles;79;50719;Nantes;du Fion;Street;USA;9;11944;Miami;Obama;Road;France
Dorée;Martin;30;6;1935;Charles;59;17401;Lille;Denfert;Street;France;93;22838;Los Angeles;Jean Jaurès;DeadEnd;USA
Doreen;Coisne;27;7;1936;Henry;30;12872;Miami;Pernetti;DeadEnd;Grande-Bretagne;95;11402;Nantes;du Fion;Boulevard;Maroc
Doria;Petit;6;10;1971;Henry;24;89573;Paris;Tahère;Boulevard;USA;68;62147;Lille;de Paris;DeadEnd;Grande-Bretagne
Dorian;Petit;18;8;2005;Paul;65;39678;Los Angeles;Jean Jaurès;Avenue;Maroc;2;52417;Paris;Jean Valjean;Avenue;Grande-Bretagne
Doriane;Bernard;28;12;2007;Henry;42;15901;Miami;Denfert;Street;USA;29;23018;Los Angeles;Caillard;Street;Grande-Bretagne
Dorine;Martin;24;2;1957;Henry;39;16995;Los Angeles;Jean Valjean;DeadEnd;France;96;45977;Bordeaux;de Ségur;Avenue;France
Dorinne;Petit;10;12;1985;Henry;2;84360;Londres;Jean Valjean;Boulevard;Maroc;18;96130;Paris;Royale;Boulevard;France
Doris;Martin;10;3;1984;Charles;43;23815;Nantes;Caillard;Road;Maroc;60;10244;Bath;Pétain;Boulevard;USA
Doroteo;CoolName;11;6;2005;Charles;8;47092;Casablanca;de la pompe;DeadEnd;Maroc;82;49458;Madrid;Jean Valjean;Avenue;USA
Dorothée;Martin;18;7;1967;Charles;26;92897;Bordeaux;de Paris;Boulevard;France;29;76888;New York;Paul Lelent;DeadEnd;France
Dosithée;Coisne;5;10;1988;Paul;25;43957;New York;des Princes;Boulevard;Maroc;70;73914;Los Angeles;Pernetti;Boulevard;USA
Douce;Bernard;22;6;1953;Charles;67;50780;Casablanca;Gaité;Street;Maroc;96;16545;Cardiff;Pernetti;Avenue;Grande-Bretagne
Douceline;Martin;14;9;1984;Henry;6;41425;Bath;Charonne;Avenue;USA;23;61298;Marseilles;Caillard;Road;Maroc
Douglas;Petit;3;9;1971;Paul;27;61091;Cardiff;du Fion;Avenue;Maroc;43;44728;Bordeaux;Tahère;DeadEnd;Maroc
Doulce;Coisne;9;5;1921;Charles;72;91766;Bath;Pernetti;DeadEnd;Maroc;97;42643;Los Angeles;Charonne;Avenue;USA
Douménique;Petit;4;8;1968;Henry;31;39442;Lille;Pétain;DeadEnd;USA;40;19228;Nantes;Tahère;DeadEnd;Maroc
Dounia;Coisne;27;1;1942;Charles;35;65623;Casablanca;D'Aguesseau;DeadEnd;USA;71;97232;Los Angeles;Obama;Avenue;Grande-Bretagne
Dragan;CoolName;4;6;1990;Henry;36;58221;Casablanca;Gaité;Road;France;17;50624;Nantes;Charonne;Road;Grande-Bretagne
Dragana;Bernard;9;5;1974;Henry;8;65451;Marseilles;de la pompe;Boulevard;Grande-Bretagne;29;43910;Los Angeles;de Ségur;Road;France
Droctovée;Coisne;9;11;1981;Charles;14;85694;New York;De Gaulle;Avenue;Grande-Bretagne;62;25977;Marseilles;Gaité;Road;USA
Druon;Coisne;9;10;1942;Charles;84;96042;Miami;Voltaire;DeadEnd;Grande-Bretagne;85;72629;Bordeaux;du Fion;Avenue;Grande-Bretagne
Dulcine;Coisne;19;6;1984;Charles;65;17112;Paris;Denfert;Road;Maroc;46;47582;Nantes;Denfert;Street;France
Duncan;CoolName;12;8;1974;Charles;45;29766;Londres;de Paris;Street;Grande-Bretagne;74;10365;Londres;du Rock;Street;Grande-Bretagne
Dune;Martin;2;12;2005;Charles;61;59316;Cardiff;Tahère;DeadEnd;USA;92;10973;Madrid;Tahère;DeadEnd;Grande-Bretagne
Dunstan;Coisne;15;10;1934;Paul;32;89848;Madrid;du Rock;Boulevard;Maroc;14;88994;Bordeaux;Charonne;Boulevard;Grande-Bretagne
Dyclan;Martin;4;10;2016;Henry;71;64607;Nantes;de Ségur;DeadEnd;USA;11;33765;Nantes;Jean Jaurès;Boulevard;France
Dylan;Bernard;16;3;2006;Henry;39;79433;Miami;Obama;Avenue;Grande-Bretagne;43;93432;Bath;D'Aguesseau;Road;France
Enguerrand;Petit;15;4;1920;Paul;33;95193;Madrid;de Paris;DeadEnd;Grande-Bretagne;83;39953;Casablanca;de la pompe;Boulevard;France
Enimie;Petit;7;8;1977;Charles;53;81712;Bordeaux;du Rock;DeadEnd;France;42;60314;New York;Picasso;Avenue;Maroc
Enki;Petit;26;6;2018;Charles;70;66645;Nantes;de Ségur;Street;Maroc;94;33076;Londres;Obama;Avenue;Grande-Bretagne
Enoal;Petit;7;6;1919;Henry;34;72802;Casablanca;Tahère;DeadEnd;USA;51;74296;Marseilles;Caillard;Street;France
Enogat;Petit;25;5;1951;Paul;75;27218;Los Angeles;Jean Valjean;DeadEnd;Grande-Bretagne;91;67837;Paris;Gaité;Street;USA
